after_s2_before_true,b_hdbscan_noise_points,b_hdbscan_noise_singleton_residual,clustering_backend_note,fast_after_true,fast_delta_true,fast_effective_total_reduction_pct,frozen_index,hdbscan_actually_used,hdbscan_runtime_available,old_after_true,old_delta_true,old_effective_total_reduction_pct,rewrite_a_intro_true,rewrite_a_net_true,rewrite_a_saved_true,rewrite_after_true,rewrite_b_intro_true,rewrite_b_net_true,rewrite_b_saved_true,rewrite_delta_true,rewrite_effective_total_reduction_pct,rewrite_net_true,route_initial_comments,route_initial_delete_now,route_initial_docstrings,route_initial_reference,route_initial_retain_for_b,route_profile,source_id
1193,0,0,,1193,0,0.000000,60,,,1193,0,0.000000,0,0,0,1193,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:60
1868,0,0,,1868,0,0.000000,61,,,1868,0,0.000000,0,0,0,1868,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:61
1057,0,0,,1057,0,0.000000,62,,,1047,10,0.946074,0,0,0,1057,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:62
939,1,1,lexical_jaccard_fallback_explicit,939,0,0.000000,63,False,False,909,30,3.194888,0,0,0,915,12,24,36,24,2.555911,24,7,0,0,0,7,rewrite_recovery_v2,frozen:63
576,0,0,,576,0,0.000000,64,,,576,0,0.000000,0,0,0,576,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:64
1660,0,0,,1618,42,2.530120,65,,,1660,0,0.000000,0,0,0,1660,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:65
1656,0,0,lexical_jaccard_fallback_explicit,1594,62,3.743961,66,False,False,1641,15,0.905797,0,0,0,1656,0,0,0,0,0.000000,0,2,0,0,0,2,rewrite_recovery_v2,frozen:66
238,1,1,lexical_jaccard_fallback_explicit,238,0,0.000000,67,False,False,238,0,0.000000,0,0,0,238,0,0,0,0,0.000000,0,1,0,0,0,1,rewrite_recovery_v2,frozen:67
326,1,1,lexical_jaccard_fallback_explicit,306,20,6.134969,68,False,False,306,20,6.134969,0,0,0,326,0,0,0,0,0.000000,0,1,0,0,0,1,rewrite_recovery_v2,frozen:68
7173,0,0,,7173,0,0.000000,69,,,7173,0,0.000000,0,0,0,7173,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:69
1693,1,1,lexical_jaccard_fallback_explicit,1693,0,0.000000,70,False,False,1693,0,0.000000,0,0,0,1693,0,0,0,0,0.000000,0,1,0,0,0,1,rewrite_recovery_v2,frozen:70
408,1,1,lexical_jaccard_fallback_explicit,408,0,0.000000,71,False,False,408,0,0.000000,0,0,0,408,0,0,0,0,0.000000,0,1,0,0,0,1,rewrite_recovery_v2,frozen:71
72,0,0,,72,0,0.000000,72,,,72,0,0.000000,0,0,0,72,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:72
225,0,0,,225,0,0.000000,73,,,225,0,0.000000,0,0,0,225,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:73
570,0,0,,552,18,3.157895,74,,,523,47,8.245614,0,0,0,570,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:74
220,0,0,,213,7,3.181818,75,,,220,0,0.000000,0,0,0,220,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:75
1187,0,0,,1146,41,3.454086,76,,,1152,35,2.948610,0,0,0,1187,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:76
1232,0,0,,1192,40,3.246753,77,,,1157,75,6.087662,0,0,0,1232,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:77
51,0,0,,51,0,0.000000,78,,,51,0,0.000000,0,0,0,51,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:78
3552,0,0,,3331,221,6.221847,79,,,3325,227,6.390766,0,0,0,3552,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:79
18,0,0,,18,0,0.000000,80,,,18,0,0.000000,0,0,0,18,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:80
1497,0,0,,1497,0,0.000000,81,,,1497,0,0.000000,0,0,0,1497,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:81
516,1,1,lexical_jaccard_fallback_explicit,516,0,0.000000,82,False,False,516,0,0.000000,0,0,0,516,0,0,0,0,0.000000,0,1,0,0,0,1,rewrite_recovery_v2,frozen:82
354,0,0,,354,0,0.000000,83,,,354,0,0.000000,0,0,0,354,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:83
284,0,0,,284,0,0.000000,84,,,284,0,0.000000,0,0,0,284,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:84
919,0,0,,884,35,3.808487,85,,,884,35,3.808487,0,0,0,919,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:85
397,0,0,,397,0,0.000000,86,,,397,0,0.000000,0,0,0,397,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:86
433,0,0,,423,10,2.309469,87,,,433,0,0.000000,0,0,0,433,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:87
283,0,0,,283,0,0.000000,88,,,269,14,4.946996,0,0,0,283,0,0,0,0,0.000000,0,0,0,0,0,0,rewrite_recovery_v2,frozen:88
